file	line	old	new	context
src/assets/styles/admin-theme.css	25	2rem	1.25rem	padding-bottom: 2rem;
src/components/Editor/TipTapEditor.vue	513	1rem	0.625rem	Note: Project uses 62.5% base font-size (1rem = 10px)
src/components/Editor/TipTapEditor.vue	526	0.6rem	0.375rem	gap: 0.6rem;
src/components/Editor/TipTapEditor.vue	527	1.2rem	0.75rem	padding: 1.2rem 1.6rem;
src/components/Editor/TipTapEditor.vue	527	1.6rem	1rem	padding: 1.2rem 1.6rem;
src/components/Editor/TipTapEditor.vue	534	0.4rem	0.25rem	gap: 0.4rem;
src/components/Editor/TipTapEditor.vue	540	0.8rem	0.5rem	margin: 0 0.8rem;
src/components/Editor/TipTapEditor.vue	547	3.6rem	2.25rem	min-width: 3.6rem;
src/components/Editor/TipTapEditor.vue	548	3.6rem	2.25rem	height: 3.6rem;
src/components/Editor/TipTapEditor.vue	555	1.2rem	0.75rem	font-size: 1.2rem;
src/components/Editor/TipTapEditor.vue	575	1.3rem	0.8125rem	font-size: 1.3rem;
src/components/Editor/TipTapEditor.vue	585	1.8rem	1.125rem	width: 1.8rem;
src/components/Editor/TipTapEditor.vue	586	1.8rem	1.125rem	height: 1.8rem;
src/components/Editor/TipTapEditor.vue	591	2.4rem	1.5rem	padding: 2.4rem 3rem;
src/components/Editor/TipTapEditor.vue	591	3rem	1.875rem	padding: 2.4rem 3rem;
src/components/Editor/TipTapEditor.vue	599	1.7rem	1.0625rem	font-size: 1.7rem;
src/components/Editor/TipTapEditor.vue	604	1.6rem	1rem	margin-bottom: 1.6rem;
src/components/Editor/TipTapEditor.vue	608	3.2rem	2rem	font-size: 3.2rem;
src/components/Editor/TipTapEditor.vue	610	1.6rem	1rem	margin-bottom: 1.6rem;
src/components/Editor/TipTapEditor.vue	611	3.2rem	2rem	margin-top: 3.2rem;
src/components/Editor/TipTapEditor.vue	617	2.4rem	1.5rem	font-size: 2.4rem;
src/components/Editor/TipTapEditor.vue	619	1.2rem	0.75rem	margin-bottom: 1.2rem;
src/components/Editor/TipTapEditor.vue	620	2.8rem	1.75rem	margin-top: 2.8rem;
src/components/Editor/TipTapEditor.vue	626	2rem	1.25rem	font-size: 2rem;
src/components/Editor/TipTapEditor.vue	628	1rem	0.625rem	margin-bottom: 1rem;
src/components/Editor/TipTapEditor.vue	629	2.4rem	1.5rem	margin-top: 2.4rem;
src/components/Editor/TipTapEditor.vue	636	2.4rem	1.5rem	padding-left: 2.4rem;
src/components/Editor/TipTapEditor.vue	637	1.6rem	1rem	margin-bottom: 1.6rem;
src/components/Editor/TipTapEditor.vue	641	0.6rem	0.375rem	margin-bottom: 0.6rem;
src/components/Editor/TipTapEditor.vue	646	2rem	1.25rem	padding-left: 2rem;
src/components/Editor/TipTapEditor.vue	648	1.6rem	1rem	margin-bottom: 1.6rem;
src/components/Editor/TipTapEditor.vue	655	0.2rem	0.125rem	padding: 0.2rem 0.6rem;
src/components/Editor/TipTapEditor.vue	655	0.6rem	0.375rem	padding: 0.2rem 0.6rem;
src/components/Editor/TipTapEditor.vue	663	1.6rem	1rem	padding: 1.6rem 2rem;
src/components/Editor/TipTapEditor.vue	663	2rem	1.25rem	padding: 1.6rem 2rem;
src/components/Editor/TipTapEditor.vue	666	1.6rem	1rem	margin-bottom: 1.6rem;
src/components/Editor/TipTapEditor.vue	667	1.4rem	0.875rem	font-size: 1.4rem;
src/components/Editor/TipTapEditor.vue	679	3rem	1.875rem	margin: 3rem 0;
src/components/Editor/TipTapEditor.vue	686	1.6rem	1rem	margin: 1.6rem 0;
src/components/Editor/TipTapEditor.vue	695	1.7rem	1.0625rem	font-size: 1.7rem;
src/components/Navigation/AuthForm.vue	429	1.4rem	0.875rem	font-size: 1.4rem;
src/components/Navigation/AuthForm.vue	438	1.1rem	0.6875rem	font-size: 1.1rem;
src/components/Navigation/AuthForm.vue	461	1rem	0.625rem	font-size: 1rem;
src/components/Navigation/AuthForm.vue	472	1.05rem	0.65625rem	font-size: 1.05rem;
src/components/Navigation/AuthForm.vue	489	0.75rem	0.46875rem	padding: 0.75rem 0;
src/components/Navigation/AuthForm.vue	490	1.6rem	1rem	font-size: 1.6rem;
src/components/Navigation/AuthForm.vue	491	2rem	1.25rem	line-height: 2rem;
src/components/Navigation/AuthForm.vue	506	4rem	2.5rem	padding-bottom: 4rem;
src/components/Navigation/MenuAuth.vue	141	4rem	2.5rem	padding-bottom: 4rem;
src/components/Navigation/MenuAuth.vue	146	3rem	1.875rem	padding-bottom: 3rem;
src/components/Navigation/NavDrawer.vue	297	1.1rem	0.6875rem	font-size: 1.1rem;
src/components/Navigation/NavDrawer.vue	320	1.1rem	0.6875rem	font-size: 1.1rem;
src/components/Navigation/NavDrawer.vue	367	1rem	0.625rem	font-size: 1rem;
src/components/Navigation/NavDrawer.vue	372	1.6rem	1rem	font-size: 1.6rem;
src/components/Navigation/NavDrawer.vue	401	1.1rem	0.6875rem	font-size: 1.1rem;
src/components/Navigation/NavDrawer.vue	406	1.5rem	0.9375rem	font-size: 1.5rem;
src/components/Navigation/NavDrawer.vue	413	0.9rem	0.5625rem	font-size: 0.9rem;
src/components/Navigation/NavDrawer.vue	432	1.2rem	0.75rem	font-size: 1.2rem;
src/components/Navigation/NavDrawer.vue	438	1.4rem	0.875rem	font-size: 1.4rem;
src/components/Navigation/NavDrawer.vue	442	1rem	0.625rem	font-size: 1rem;
src/components/Navigation/NavDrawer.vue	453	1.1rem	0.6875rem	font-size: 1.1rem;
src/components/Navigation/NavDrawer.vue	480	1.05rem	0.65625rem	font-size: 1.05rem;
src/components/UI/InteractionButton.vue	29	2rem	1.25rem	width: 2rem;
src/components/UI/InteractionButton.vue	30	2rem	1.25rem	height: 2rem;
src/components/UI/StateElement.vue	2	5.8rem	3.625rem	<div class="absolute top-40 left-[5.8rem] z-50">
src/components/ai/AITutorChat.vue	193	1.6rem	1rem	font-size: 1.6rem;
src/components/ai/AITutorChat.vue	200	1.3rem	0.8125rem	font-size: 1.3rem;
src/components/ai/AITutorChat.vue	240	1.35rem	0.84375rem	font-size: 1.35rem;
src/components/ai/AITutorChat.vue	253	0.9rem	0.5625rem	font-size: 0.9rem;
src/components/ai/AITutorChat.vue	312	1.35rem	0.84375rem	font-size: 1.35rem;
src/components/ai/AITutorSidebar.vue	338	1rem	0.625rem	padding: 1rem 1.25rem;
src/components/ai/AITutorSidebar.vue	338	1.25rem	0.78125rem	padding: 1rem 1.25rem;
src/components/ai/AITutorSidebar.vue	347	0.625rem	0.390625rem	gap: 0.625rem;
src/components/ai/AITutorSidebar.vue	352	1.125rem	0.703125rem	font-size: 1.125rem;
src/components/ai/AITutorSidebar.vue	364	0.375rem	0.234375rem	gap: 0.375rem;
src/components/ai/AITutorSidebar.vue	398	0.75rem	0.46875rem	padding: 0.75rem 1.25rem;
src/components/ai/AITutorSidebar.vue	398	1.25rem	0.78125rem	padding: 0.75rem 1.25rem;
src/components/ai/AITutorSidebar.vue	399	0.75rem	0.46875rem	font-size: 0.75rem;
src/components/ai/AITutorSidebar.vue	408	1.5rem	0.9375rem	padding: 1.5rem;
src/components/ai/AITutorSidebar.vue	411	0.875rem	0.546875rem	font-size: 0.875rem;
